mandi,crop,gross_price,distance_km,perishability,days_in_storage,net_earning,action
Ghazipur Mandi,Potatoes,1640.0,5.0,5,17,772.83,1
Ghazipur Mandi,Potatoes,1640.0,20.3,5,16,772.41,1
Ghazipur Mandi,Potatoes,1640.0,24.8,5,11,977.13,0
Ghazipur Mandi,Potatoes,1640.0,6.2,4,2,1494.64,0
Ghazipur Mandi,Potatoes,1640.0,26.4,4,22,683.83,2
Ghazipur Mandi,Potatoes,1640.0,16.2,5,14,875.8,1
Ghazipur Mandi,Potatoes,1640.0,30.1,3,21,887.35,2
Ghazipur Mandi,Potatoes,1640.0,13.2,4,0,1528.0,0
Ghazipur Mandi,Onions,2880.0,33.0,5,11,1758.35,1
Ghazipur Mandi,Onions,2880.0,10.2,6,2,2562.39,2
Ghazipur Mandi,Onions,2880.0,32.5,5,22,893.32,2
Ghazipur Mandi,Onions,2880.0,8.5,5,2,2605.12,2
Ghazipur Mandi,Onions,2880.0,5.0,5,19,1200.73,2
Ghazipur Mandi,Onions,2880.0,5.0,4,20,1452.05,2
Ghazipur Mandi,Onions,2880.0,18.8,6,24,406.44,2
Ghazipur Mandi,Onions,2880.0,28.9,4,6,2267.54,2
Ghazipur Mandi,Onions,2880.0,20.3,4,16,1663.57,1
Ghazipur Mandi,Onions,2880.0,5.9,5,23,863.97,2
Ghazipur Mandi,Onions,2880.0,12.1,5,4,2419.82,2
Ghazipur Mandi,Onions,2880.0,5.0,4,20,1452.05,2
Ghazipur Mandi,Onions,2880.0,36.6,4,14,1728.26,1
Ghazipur Mandi,Onions,2880.0,15.4,6,25,409.5,2
Ghazipur Mandi,Onions,2880.0,29.9,4,10,2008.68,1
Ghazipur Mandi,Onions,2880.0,22.6,6,23,462.13,2
Ghazipur Mandi,Onions,2880.0,32.9,6,12,1491.0,1
Ghazipur Mandi,Onions,2880.0,36.6,6,19,822.48,2
Ghazipur Mandi,Onions,2880.0,5.0,4,21,1385.03,2
Ghazipur Mandi,Onions,2880.0,23.3,4,13,1845.63,1
Ghazipur Mandi,Onions,2880.0,10.1,5,24,773.3,2
Ghazipur Mandi,Onions,2880.0,9.7,4,25,1105.68,2
Ghazipur Mandi,Onions,2880.0,29.3,5,4,2329.01,2
Ghazipur Mandi,Onions,2880.0,5.0,6,22,580.82,2
Ghazipur Mandi,Onions,2880.0,32.9,6,19,829.5,2
Ghazipur Mandi,Onions,2880.0,36.8,4,9,2039.65,1
Ghazipur Mandi,Onions,2880.0,20.0,5,16,1405.25,1
Ghazipur Mandi,Onions,2880.0,7.4,6,5,2277.96,2
Ghazipur Mandi,Onions,2880.0,23.8,4,14,1779.25,1
Ghazipur Mandi,Onions,2880.0,5.0,5,4,2457.31,2
Ghazipur Mandi,Onions,2880.0,5.2,4,23,1250.46,2
Ghazipur Mandi,Onions,2880.0,11.3,4,8,2225.72,2
Ghazipur Mandi,Onions,2880.0,5.0,5,11,1870.91,1
Ghazipur Mandi,Onions,2880.0,5.0,6,7,2088.72,1
Ghazipur Mandi,Onions,2880.0,34.6,6,1,2520.67,2
Ghazipur Mandi,Onions,2880.0,16.3,6,5,2234.17,2
Ghazipur Mandi,Onions,2880.0,11.1,4,15,1763.71,1
Ghazipur Mandi,Onions,2880.0,19.4,5,4,2381.28,2
Ghazipur Mandi,Onions,2880.0,9.7,4,4,2498.84,2
Ghazipur Mandi,Onions,2880.0,36.7,5,7,2055.74,1
Ghazipur Mandi,Onions,2880.0,32.9,5,18,1207.5,2
Ghazipur Mandi,Onions,2880.0,30.9,5,7,2083.23,1
Ghazipur Mandi,Onions,2880.0,21.8,4,0,2691.6,2
Ghazipur Mandi,Onions,2880.0,32.8,6,15,1207.78,1
Ghazipur Mandi,Onions,2880.0,25.0,4,15,1710.34,1
Ghazipur Mandi,Onions,2880.0,26.8,6,12,1511.79,1
Ghazipur Mandi,Onions,2880.0,26.4,5,3,2424.24,2
Ghazipur Mandi,Onions,2880.0,23.6,5,6,2198.26,1
Ghazipur Mandi,Onions,2880.0,32.9,4,25,1050.0,2
Ghazipur Mandi,Onions,2880.0,18.3,6,22,564.22,2
Ghazipur Mandi,Tomatoes,2070.0,5.0,10,4,1518.94,2
Ghazipur Mandi,Tomatoes,2070.0,28.0,10,1,1748.96,0
Ghazipur Mandi,Tomatoes,2070.0,30.6,9,6,1247.22,2
Ghazipur Mandi,Tomatoes,2070.0,8.8,8,10,1027.42,2
Ghazipur Mandi,Tomatoes,2070.0,36.3,8,7,1202.37,2
Ghazipur Mandi,Tomatoes,2070.0,11.1,8,2,1773.65,0
Ghazipur Mandi,Tomatoes,2070.0,6.5,10,6,1273.34,2
Ghazipur Mandi,Tomatoes,2070.0,20.9,9,4,1492.11,2
Ghazipur Mandi,Tomatoes,2070.0,5.6,9,3,1671.81,2
Ghazipur Mandi,Tomatoes,2070.0,12.5,8,5,1484.74,2
Ghazipur Mandi,Tomatoes,2070.0,26.8,9,0,1867.8,0
Ghazipur Mandi,Tomatoes,2070.0,5.0,10,1,1878.68,0
Ghazipur Mandi,Tomatoes,2070.0,32.5,10,3,1503.55,2
Ghazipur Mandi,Tomatoes,2070.0,24.7,8,6,1338.84,2
Ghazipur Mandi,Tomatoes,2070.0,5.0,8,5,1518.94,2
Ghazipur Mandi,Tomatoes,2070.0,15.0,10,10,775.44,2
Ghazipur Mandi,Tomatoes,2070.0,25.9,9,1,1772.05,0
Ghazipur Mandi,Tomatoes,2070.0,11.6,8,3,1676.9,2
Ghazipur Mandi,Tomatoes,2070.0,16.9,8,8,1187.16,2
Ghazipur Mandi,Tomatoes,2070.0,7.7,10,10,792.96,2
Ghazipur Mandi,Tomatoes,2070.0,9.7,9,3,1651.2,2
Ghazipur Mandi,Tomatoes,2070.0,24.9,10,2,1653.7,0
Ghazipur Mandi,Tomatoes,2070.0,35.3,8,4,1467.97,2
Ghazipur Mandi,Tomatoes,2070.0,33.8,8,10,949.42,2
Ghazipur Mandi,Tomatoes,2070.0,35.8,10,8,943.18,2
Ghazipur Mandi,Tomatoes,2070.0,17.5,10,0,1923.6,0
Ghazipur Mandi,Tomatoes,2070.0,13.2,9,1,1844.13,0
Ghazipur Mandi,Tomatoes,2070.0,9.5,8,8,1214.51,2
Ghazipur Mandi,Tomatoes,2070.0,27.0,9,10,858.64,2
Ghazipur Mandi,Tomatoes,2070.0,35.9,9,8,1029.9,2
Ghazipur Mandi,Tomatoes,2070.0,32.4,8,7,1217.91,2
Ghazipur Mandi,Tomatoes,2070.0,29.0,9,1,1754.45,0
Ghazipur Mandi,Tomatoes,2070.0,28.6,10,4,1411.32,2
Ghazipur Mandi,Tomatoes,2070.0,33.9,9,2,1628.08,0
Ghazipur Mandi,Tomatoes,2070.0,8.5,10,8,1028.35,2
Ghazipur Mandi,Tomatoes,2070.0,5.0,10,0,1998.6,0
Ghazipur Mandi,Tomatoes,2070.0,23.3,8,5,1435.49,2
Ghazipur Mandi,Tomatoes,2070.0,9.9,10,5,1378.44,2
Ghazipur Mandi,Tomatoes,2070.0,22.4,8,1,1803.28,0
Ghazipur Mandi,Tomatoes,2070.0,29.9,10,0,1849.2,0
Ghazipur Mandi,Tomatoes,2070.0,5.0,9,1,1890.68,0
Ghazipur Mandi,Tomatoes,2070.0,18.8,10,5,1341.06,2
Ghazipur Mandi,Tomatoes,2070.0,12.2,8,8,1204.53,2
Ghazipur Mandi,Tomatoes,2070.0,32.1,9,8,1042.85,2
Ghazipur Mandi,Tomatoes,2070.0,5.0,9,2,1782.75,0
Ghazipur Mandi,Tomatoes,2070.0,5.7,8,8,1228.55,2
Ghazipur Mandi,Tomatoes,2070.0,22.0,10,5,1327.62,2
Ghazipur Mandi,Tomatoes,2070.0,23.6,8,9,1071.82,2
Ghazipur Mandi,Tomatoes,2070.0,29.2,9,0,1853.4,0
Ghazipur Mandi,Tomatoes,2070.0,20.1,8,8,1175.33,2
Narela Mandi,Wheat,2960.0,21.8,1,25,2354.5,2
Narela Mandi,Wheat,2500.0,30.2,2,38,1234.23,2
Narela Mandi,Wheat,3200.0,43.1,2,14,2447.79,2
Narela Mandi,Wheat,2350.0,20.4,2,39,1160.08,2
Narela Mandi,Wheat,2950.0,23.3,1,5,2668.66,2
Narela Mandi,Wheat,3075.0,51.7,1,30,2280.3,2
Narela Mandi,Wheat,2815.0,29.4,2,7,2365.39,2
Narela Mandi,Wheat,2810.0,43.9,2,19,1973.42,1
Narela Mandi,Wheat,2450.0,40.4,1,6,2139.31,0
Narela Mandi,Wheat,2950.0,50.3,2,5,2504.77,2
Narela Mandi,Wheat,2700.0,46.4,1,2,2407.95,2
Narela Mandi,Wheat,2770.0,37.4,2,13,2101.73,0
Narela Mandi,Wheat,2950.0,44.3,2,22,1981.05,1
Narela Mandi,Wheat,2962.0,24.5,1,18,2458.14,2
Narela Mandi,Wheat,3025.0,35.4,1,7,2636.51,2
Narela Mandi,Wheat,2685.0,46.6,1,31,1971.18,1
Narela Mandi,Wheat,3100.0,24.6,2,17,2300.76,2
Narela Mandi,Wheat,2740.0,26.9,2,40,1312.38,2
Narela Mandi,Wheat,3850.0,41.7,2,34,2122.53,2
Narela Mandi,Wheat,3000.0,21.5,1,14,2574.88,2
Narela Mandi,Wheat,2275.0,48.4,1,29,1661.66,1
Narela Mandi,Wheat,2450.0,44.4,1,23,1897.43,1
Narela Mandi,Wheat,3050.0,41.0,2,43,1357.38,2
Narela Mandi,Wheat,2785.0,53.5,2,31,1562.81,1
Narela Mandi,Wheat,2950.0,34.3,1,33,2153.53,2
Narela Mandi,Wheat,2460.0,49.5,2,35,1269.07,2
Narela Mandi,Wheat,2690.0,41.9,1,11,2286.11,2
Narela Mandi,Wheat,2801.0,40.7,2,20,1946.99,1
Narela Mandi,Wheat,2500.0,27.2,2,7,2094.71,0
Narela Mandi,Wheat,2963.0,50.8,1,41,2017.06,2
Narela Mandi,Wheat,2730.0,32.0,2,36,1410.57,2
Narela Mandi,Wheat,2790.0,21.4,1,13,2402.55,2
Narela Mandi,Wheat,2740.0,42.1,1,5,2420.88,2
Narela Mandi,Wheat,2755.0,32.6,1,27,2098.6,1
Narela Mandi,Wheat,2878.0,49.0,1,0,2599.94,2
Narela Mandi,Wheat,2760.0,39.9,2,44,1163.67,2
Narela Mandi,Wheat,3371.0,34.8,1,9,2927.66,2
Narela Mandi,Wheat,2825.0,34.4,2,9,2285.39,2
Narela Mandi,Wheat,2815.0,30.7,2,40,1338.74,2
Narela Mandi,Wheat,2900.0,34.7,2,42,1306.36,2
Narela Mandi,Wheat,2800.0,43.7,2,19,1966.55,1
Narela Mandi,Wheat,2725.0,20.2,1,36,1998.65,2
Narela Mandi,Wheat,2800.0,35.6,1,43,1877.56,2
Narela Mandi,Wheat,4000.0,39.4,1,5,3573.09,2
Narela Mandi,Wheat,2940.0,37.8,2,13,2240.31,0
Narela Mandi,Wheat,2650.0,23.2,1,19,2177.61,1
Narela Mandi,Wheat,2825.0,20.3,1,34,2106.77,2
Narela Mandi,Wheat,2890.0,25.2,1,4,2616.66,2
Narela Mandi,Wheat,2859.0,36.7,2,11,2240.85,0
Narela Mandi,Wheat,2555.0,53.5,2,42,1122.52,2
Narela Mandi,Mustard,5750.0,52.3,2,28,3585.37,1
Narela Mandi,Mustard,5930.0,39.2,3,42,1360.59,2
Narela Mandi,Mustard,5550.0,30.9,2,19,4055.78,1
Narela Mandi,Mustard,6100.0,20.0,1,15,5330.78,1
Narela Mandi,Mustard,5550.0,26.0,3,7,4617.34,0
Narela Mandi,Mustard,5550.0,25.5,3,7,4619.96,0
Narela Mandi,Mustard,5300.0,34.5,1,21,4358.64,1
Narela Mandi,Mustard,6080.0,43.2,3,25,3170.2,1
Narela Mandi,Mustard,5850.0,42.9,2,17,4409.8,0
Narela Mandi,Mustard,5000.0,48.0,3,39,1395.83,2
Narela Mandi,Mustard,6090.0,20.0,1,45,4269.19,2
Narela Mandi,Mustard,7650.0,42.6,3,30,3360.44,1
Narela Mandi,Mustard,5800.0,47.9,1,40,4156.02,2
Narela Mandi,Mustard,6050.0,31.1,2,5,5397.86,0
Narela Mandi,Mustard,5550.0,49.3,1,12,4841.52,0
Narela Mandi,Mustard,5550.0,22.1,3,40,1485.79,2
Narela Mandi,Mustard,5920.0,49.7,1,37,4339.65,2
Narela Mandi,Mustard,5920.0,51.3,3,5,5069.38,0
Narela Mandi,Mustard,6010.0,45.6,1,22,4934.23,1
Narela Mandi,Mustard,5690.0,49.4,1,23,4615.06,1
Narela Mandi,Mustard,5750.0,38.0,1,20,4758.16,1
Narela Mandi,Mustard,6200.0,41.0,2,6,5467.31,2
Narela Mandi,Mustard,6200.0,43.3,1,24,5034.26,1
Narela Mandi,Mustard,5915.0,27.3,1,34,4483.79,2
Narela Mandi,Mustard,6050.0,19.5,3,34,2255.06,2
Narela Mandi,Mustard,5950.0,42.3,2,1,5572.96,0
Narela Mandi,Mustard,5920.0,36.5,1,25,4745.21,1
Narela Mandi,Mustard,5950.0,37.1,2,27,3791.28,1
Narela Mandi,Mustard,5950.0,47.4,1,11,5246.93,0
Narela Mandi,Mustard,5740.0,32.9,1,14,4971.86,1
Narela Mandi,Mustard,6050.0,35.6,3,22,3452.1,1
Narela Mandi,Mustard,5721.0,45.1,3,42,1318.49,2
Narela Mandi,Mustard,5875.0,47.7,3,15,4046.28,0
Narela Mandi,Mustard,6080.0,21.4,3,24,3311.44,1
Narela Mandi,Mustard,6120.0,51.4,3,3,5454.92,2
Narela Mandi,Mustard,6080.0,35.7,3,33,2332.15,2
Narela Mandi,Mustard,5980.0,36.0,1,45,4120.41,2
Narela Mandi,Mustard,5725.0,51.5,3,7,4701.03,0
Narela Mandi,Mustard,5800.0,22.1,2,17,4418.91,0
Narela Mandi,Mustard,5450.0,28.5,2,24,3681.04,1
Narela Mandi,Mustard,5550.0,25.3,3,43,1194.91,2
Narela Mandi,Mustard,6000.0,46.9,3,6,5056.7,0
Narela Mandi,Mustard,5950.0,46.7,1,41,4238.12,2
Narela Mandi,Mustard,5950.0,52.6,2,6,5191.51,0
Narela Mandi,Mustard,5950.0,38.2,1,41,4223.76,2
Narela Mandi,Mustard,6080.0,52.2,3,21,3560.02,1
Narela Mandi,Mustard,5950.0,37.0,1,25,4767.65,1
Narela Mandi,Mustard,5550.0,41.6,2,41,2667.91,2
Narela Mandi,Mustard,5950.0,45.9,1,25,4780.78,1
Narela Mandi,Mustard,5725.0,46.3,2,23,3911.16,1
Narela Mandi,Potatoes,1440.0,48.7,5,9,870.2,0
Narela Mandi,Potatoes,1750.0,22.3,4,0,1581.2,2
Narela Mandi,Potatoes,3800.0,24.3,3,2,3449.38,2
Narela Mandi,Potatoes,1200.0,49.1,5,20,382.02,1
Narela Mandi,Potatoes,3100.0,19.8,5,2,2744.05,2
Narela Mandi,Potatoes,1500.0,41.3,3,13,983.66,1
Narela Mandi,Potatoes,900.0,39.8,4,24,272.72,2
Narela Mandi,Potatoes,1600.0,28.6,5,20,558.56,1
Narela Mandi,Potatoes,2025.0,33.1,4,28,585.78,2
Narela Mandi,Potatoes,1400.0,44.3,5,6,961.57,0
Narela Mandi,Potatoes,1600.0,23.4,5,3,1299.12,0
Narela Mandi,Potatoes,1500.0,30.7,5,12,822.91,0
Narela Mandi,Potatoes,1800.0,21.9,3,3,1544.44,0
Narela Mandi,Potatoes,2150.0,30.3,5,5,1636.42,2
Narela Mandi,Potatoes,1745.0,34.4,4,27,529.3,2
Narela Mandi,Potatoes,2700.0,21.4,3,7,2200.38,2
Narela Mandi,Potatoes,3100.0,39.7,5,21,1035.93,2
Narela Mandi,Potatoes,2500.0,30.3,5,21,839.23,2
Narela Mandi,Potatoes,2800.0,20.8,4,5,2304.9,2
Narela Mandi,Potatoes,1700.0,53.8,5,29,213.59,2
Narela Mandi,Potatoes,1700.0,21.1,4,3,1428.56,0
Narela Mandi,Potatoes,2100.0,41.2,5,24,524.33,2
Narela Mandi,Potatoes,3000.0,37.7,4,29,825.0,2
Narela Mandi,Potatoes,1800.0,47.7,3,15,1131.03,1
Narela Mandi,Potatoes,1800.0,46.8,4,12,1106.02,0
Narela Mandi,Potatoes,1650.0,32.9,4,4,1283.32,0
Narela Mandi,Potatoes,1300.0,45.8,3,24,606.57,2
Narela Mandi,Potatoes,1700.0,37.2,4,21,715.63,2
Narela Mandi,Potatoes,2400.0,49.2,3,15,1555.34,2
Narela Mandi,Potatoes,1675.0,24.5,3,13,1144.79,1
Narela Mandi,Potatoes,2050.0,29.6,4,12,1303.96,0
Narela Mandi,Potatoes,2350.0,32.3,4,26,793.06,2
Narela Mandi,Potatoes,2000.0,38.3,5,2,1626.39,2
Narela Mandi,Potatoes,3500.0,28.7,4,3,3023.24,2
Narela Mandi,Potatoes,3000.0,24.6,4,10,2122.22,2
Narela Mandi,Potatoes,500.0,53.7,3,19,163.41,1
Narela Mandi,Potatoes,2300.0,51.5,4,5,1779.58,2
Narela Mandi,Potatoes,2200.0,40.9,4,23,883.43,2
Narela Mandi,Potatoes,2750.0,44.2,5,15,1372.86,1
Narela Mandi,Potatoes,1480.0,29.6,3,14,952.05,1
Narela Mandi,Potatoes,2000.0,25.0,4,2,1723.12,2
Narela Mandi,Potatoes,1735.0,53.1,4,24,619.61,2
Narela Mandi,Potatoes,1750.0,35.7,3,3,1419.76,0
Narela Mandi,Potatoes,2200.0,36.0,4,15,1241.6,1
Narela Mandi,Potatoes,1900.0,48.0,5,2,1547.24,1
Narela Mandi,Potatoes,4300.0,42.3,4,7,3347.68,2
Narela Mandi,Potatoes,4300.0,27.1,3,27,2082.42,2
Narela Mandi,Potatoes,2300.0,52.7,3,30,927.75,2
Narela Mandi,Potatoes,1500.0,49.6,3,27,640.86,2
Narela Mandi,Potatoes,1500.0,26.5,4,1,1279.54,0
Narela Mandi,Onions,2900.0,31.7,6,18,933.43,2
Narela Mandi,Onions,1600.0,46.3,5,24,380.7,2
Narela Mandi,Onions,2560.0,35.9,5,23,710.95,2
Narela Mandi,Onions,1200.0,24.9,4,8,829.49,0
Narela Mandi,Onions,4200.0,29.6,6,6,3087.71,2
Narela Mandi,Onions,1500.0,43.2,4,3,1183.76,0
Narela Mandi,Onions,2850.0,53.8,4,4,2306.01,2
Narela Mandi,Onions,3700.0,25.0,5,6,2850.32,2
Narela Mandi,Onions,1800.0,23.5,6,2,1506.14,0
Narela Mandi,Onions,2400.0,37.3,5,13,1298.2,1
Narela Mandi,Onions,3900.0,32.5,4,22,1711.94,2
Narela Mandi,Onions,2950.0,35.8,5,5,2274.77,2
Narela Mandi,Onions,1420.0,39.3,6,25,173.37,2
Narela Mandi,Onions,1750.0,30.3,5,17,751.27,1
Narela Mandi,Onions,2200.0,25.9,4,12,1424.43,1
Narela Mandi,Onions,6600.0,36.0,6,16,2650.85,2
Narela Mandi,Onions,3300.0,41.6,4,19,1657.46,2
Narela Mandi,Onions,2800.0,22.4,5,3,2374.74,2
Narela Mandi,Onions,3000.0,30.3,5,7,2178.98,1
Narela Mandi,Onions,3700.0,32.1,4,5,3021.39,2
Narela Mandi,Onions,2720.0,46.4,4,16,1513.39,1
Narela Mandi,Onions,4200.0,22.5,4,8,3216.65,2
Narela Mandi,Onions,2900.0,47.3,4,0,2629.15,2
Narela Mandi,Onions,1800.0,51.5,4,10,1164.51,0
Narela Mandi,Onions,1600.0,42.0,6,21,336.48,2
Narela Mandi,Onions,3010.0,26.9,4,22,1316.12,2
Narela Mandi,Onions,1500.0,49.8,4,11,916.98,1
Narela Mandi,Onions,2900.0,42.8,4,7,2204.3,2
Narela Mandi,Onions,2900.0,44.0,4,18,1501.79,2
Narela Mandi,Onions,2500.0,20.2,4,7,1937.56,0
Narela Mandi,Onions,2800.0,35.1,6,19,800.55,2
Narela Mandi,Onions,5400.0,42.1,6,10,3265.63,2
Narela Mandi,Onions,2100.0,38.2,5,7,1444.75,0
Narela Mandi,Onions,2600.0,33.8,6,15,1078.79,1
Narela Mandi,Onions,2000.0,50.4,4,8,1400.43,0
Narela Mandi,Onions,2820.0,27.9,5,8,1973.11,1
Narela Mandi,Onions,4200.0,52.5,6,17,1505.34,1
Narela Mandi,Onions,3100.0,46.9,6,7,2114.56,1
Narela Mandi,Onions,2880.0,40.0,4,15,1652.74,1
Narela Mandi,Onions,1900.0,40.5,5,10,1175.82,0
Narela Mandi,Onions,1800.0,30.8,5,22,536.93,2
Narela Mandi,Onions,2000.0,32.1,5,25,441.85,2
Narela Mandi,Onions,5600.0,52.0,5,19,2259.22,2
Narela Mandi,Onions,2200.0,42.6,6,13,1045.01,1
Narela Mandi,Onions,1700.0,41.5,6,25,221.89,2
Narela Mandi,Onions,2300.0,30.0,6,16,879.38,1
Narela Mandi,Onions,3015.0,51.1,5,20,1089.9,2
Narela Mandi,Onions,2500.0,53.2,5,7,1746.37,0
Narela Mandi,Onions,4200.0,46.1,6,21,953.69,2
Narela Mandi,Onions,2250.0,53.4,5,12,1257.41,1
Narela Mandi,Tomatoes,2200.0,23.6,10,3,1651.81,2
Narela Mandi,Tomatoes,2000.0,52.7,10,2,1516.11,0
Narela Mandi,Tomatoes,4600.0,30.9,9,10,1988.4,2
Narela Mandi,Tomatoes,800.0,45.0,10,5,407.05,2
Narela Mandi,Tomatoes,2000.0,24.3,9,6,1226.4,2
Narela Mandi,Tomatoes,2150.0,41.2,8,7,1275.94,2
Narela Mandi,Tomatoes,1900.0,19.3,8,4,1410.93,2
Narela Mandi,Tomatoes,2000.0,53.7,10,9,790.44,2
Narela Mandi,Tomatoes,3700.0,26.1,9,4,2720.01,2
Narela Mandi,Tomatoes,2000.0,40.5,10,1,1671.08,0
Narela Mandi,Tomatoes,1810.0,46.4,9,9,804.41,2
Narela Mandi,Tomatoes,2345.0,48.3,8,8,1281.74,2
Narela Mandi,Tomatoes,3800.0,30.4,10,6,2266.62,2
Narela Mandi,Tomatoes,1500.0,49.6,8,9,708.18,2
Narela Mandi,Tomatoes,3800.0,32.4,9,7,2195.41,2
Narela Mandi,Tomatoes,1200.0,23.8,9,4,810.03,2
Narela Mandi,Tomatoes,2000.0,43.3,8,9,1002.61,2
Narela Mandi,Tomatoes,1900.0,24.8,8,3,1466.5,2
Narela Mandi,Tomatoes,2400.0,39.5,8,2,1911.96,0
Narela Mandi,Tomatoes,1900.0,22.6,9,6,1167.05,2
Narela Mandi,Tomatoes,1850.0,36.0,9,1,1510.76,0
Narela Mandi,Tomatoes,3000.0,19.7,10,0,2821.8,0
Narela Mandi,Tomatoes,1600.0,21.6,9,7,894.68,2
Narela Mandi,Tomatoes,1870.0,45.1,9,5,1189.64,2
Narela Mandi,Tomatoes,1950.0,46.5,10,3,1395.44,2
Narela Mandi,Tomatoes,3300.0,30.4,10,0,3051.6,1
Narela Mandi,Tomatoes,3600.0,31.9,8,10,1735.03,2
Narela Mandi,Tomatoes,2350.0,45.8,8,5,1593.64,2
Narela Mandi,Tomatoes,1000.0,25.0,9,3,695.54,2
Narela Mandi,Tomatoes,1000.0,46.4,10,5,539.84,2
Narela Mandi,Tomatoes,1980.0,48.3,10,6,1102.75,2
Narela Mandi,Tomatoes,1500.0,52.2,8,8,760.82,2
Narela Mandi,Tomatoes,1700.0,53.2,10,10,570.64,2
Narela Mandi,Tomatoes,1815.0,39.4,9,5,1125.88,2
Narela Mandi,Tomatoes,1550.0,51.5,10,4,978.31,2
Narela Mandi,Tomatoes,1815.0,34.0,10,4,1196.77,2
Narela Mandi,Tomatoes,3400.0,35.1,8,4,2522.09,2
Narela Mandi,Tomatoes,2500.0,51.8,9,9,1139.49,2
Narela Mandi,Tomatoes,1750.0,20.7,10,1,1495.35,0
Narela Mandi,Tomatoes,2380.0,46.3,9,8,1206.46,2
Narela Mandi,Tomatoes,1845.0,26.8,8,3,1410.09,2
Narela Mandi,Tomatoes,4509.0,35.5,8,7,2792.66,2
Narela Mandi,Tomatoes,3500.0,28.8,10,2,2866.34,1
Narela Mandi,Tomatoes,5100.0,46.5,9,5,3495.79,2
Narela Mandi,Tomatoes,3500.0,48.5,9,8,1824.27,2
Narela Mandi,Tomatoes,1000.0,48.8,10,3,623.53,2
Narela Mandi,Tomatoes,1000.0,50.7,8,4,607.49,2
Narela Mandi,Tomatoes,3600.0,30.0,10,6,2142.72,2
Narela Mandi,Tomatoes,1500.0,50.4,9,7,773.27,2
Narela Mandi,Tomatoes,1540.0,52.7,10,6,814.11,2
Okhla Mandi,Wheat,3850.0,5.0,2,13,3159.09,2
Okhla Mandi,Wheat,2800.0,16.9,1,17,2373.05,2
Okhla Mandi,Wheat,2790.0,22.4,2,36,1476.69,2
Okhla Mandi,Wheat,2800.0,11.4,1,24,2290.31,2
Okhla Mandi,Wheat,2900.0,20.8,1,40,2065.07,2
Okhla Mandi,Wheat,2859.0,5.0,2,41,1408.08,2
Okhla Mandi,Wheat,2800.0,23.5,1,16,2353.11,2
Okhla Mandi,Wheat,2725.0,5.0,2,27,1784.98,1
Okhla Mandi,Wheat,3175.0,18.5,1,21,2622.44,2
Okhla Mandi,Wheat,2675.0,18.6,2,45,1154.55,2
Okhla Mandi,Wheat,2890.0,29.2,2,20,2019.32,1
Okhla Mandi,Wheat,2800.0,32.7,2,1,2517.23,2
Okhla Mandi,Wheat,2730.0,15.7,2,38,1404.17,2
Okhla Mandi,Wheat,2900.0,9.7,1,39,2132.39,2
Okhla Mandi,Wheat,2830.0,27.8,2,34,1543.11,2
Okhla Mandi,Wheat,2500.0,27.3,1,31,1860.97,1
Okhla Mandi,Wheat,2800.0,30.1,2,3,2471.12,2
Okhla Mandi,Wheat,2981.0,25.9,1,39,2118.74,2
Okhla Mandi,Wheat,2450.0,22.6,2,27,1531.41,1
Okhla Mandi,Wheat,2880.0,7.9,1,39,2125.65,2
Okhla Mandi,Wheat,2700.0,25.8,1,1,2476.25,2
Okhla Mandi,Wheat,3094.0,5.0,1,7,2876.03,2
Okhla Mandi,Wheat,2600.0,18.4,2,34,1443.06,2
Okhla Mandi,Wheat,2690.0,12.6,1,24,2191.87,1
Okhla Mandi,Wheat,2840.0,12.9,1,4,2640.86,2
Okhla Mandi,Wheat,3100.0,6.4,2,9,2675.64,2
Okhla Mandi,Wheat,2885.0,9.6,2,40,1440.24,2
Okhla Mandi,Wheat,2850.0,9.2,2,8,2474.97,2
Okhla Mandi,Wheat,3000.0,6.4,2,39,1543.65,2
Okhla Mandi,Wheat,2800.0,5.1,2,5,2550.6,2
Okhla Mandi,Wheat,2962.0,5.4,2,2,2801.47,2
Okhla Mandi,Wheat,3201.0,31.3,2,42,1462.79,2
Okhla Mandi,Wheat,2800.0,17.3,2,0,2640.2,2
Okhla Mandi,Wheat,2885.0,30.8,2,42,1310.68,2
Okhla Mandi,Wheat,2958.0,15.0,2,45,1292.07,2
Okhla Mandi,Wheat,2975.0,30.4,2,10,2405.13,2
Okhla Mandi,Wheat,2850.0,10.7,1,44,2008.4,2
Okhla Mandi,Wheat,2800.0,5.0,2,12,2323.18,2
Okhla Mandi,Wheat,2600.0,5.4,2,30,1609.98,1
Okhla Mandi,Wheat,3850.0,5.2,1,4,3652.0,2
Okhla Mandi,Wheat,2500.0,5.0,2,24,1723.04,1
Okhla Mandi,Wheat,3050.0,30.7,2,4,2670.17,2
Okhla Mandi,Wheat,2600.0,6.1,1,8,2390.85,2
Okhla Mandi,Wheat,2500.0,31.7,2,18,1771.68,0
Okhla Mandi,Wheat,2702.0,10.6,1,1,2568.85,2
Okhla Mandi,Wheat,2800.0,22.4,1,20,2296.45,2
Okhla Mandi,Wheat,2800.0,16.8,1,11,2468.75,2
Okhla Mandi,Wheat,2765.0,17.9,2,20,1977.75,1
Okhla Mandi,Wheat,2740.0,28.5,2,32,1548.75,2
Okhla Mandi,Wheat,2450.0,14.3,2,40,1203.9,2
Okhla Mandi,Mustard,6010.0,15.3,2,10,5102.24,0
